category,coordinates,startTime,endTime,from,to,type
Jam,"(-118.449941645, 34.0644756435)",2024-03-11 05:21:00+00:00,2024-03-11 06:08:30+00:00,Levering Ave,Landfair Ave,Feature
Jam,"(-118.4458298186, 34.1896865117)",2024-03-11 05:32:30+00:00,2024-03-11 06:08:30+00:00,Sylmar Ave,Tyrone Ave,Feature
Dangerous Conditions,"(-118.4365145067, 34.2582383987)",2024-03-11 04:32:00+00:00,,Van Nuys Blvd (I-5),CA-118/Ronald Reagan Fwy/Paxton St (I-5),Feature
Road Closed,"(-118.4359378317, 34.1288607212)",2024-02-24 21:18:30+00:00,,Mulholland Dr,Wallingford Dr,Feature
Road Closed,"(-118.4343928794, 34.1227640476)",2024-02-24 21:02:30+00:00,,Wallingford Dr,Mulholland Dr,Feature
Unknown,"(-118.4308765033, 33.9892074985)",2022-03-22 17:03:30+00:00,,Short Ave,Washington Blvd,Feature
Unknown,"(-118.4373808602, 33.9956126055)",2022-03-22 17:03:30+00:00,,Washington Blvd,Short Ave,Feature
Unknown,"(-118.4316597084, 33.9888239384)",2022-03-22 17:03:30+00:00,,Short Ave,Bonaparte Ave,Feature
Unknown,"(-118.4293972651, 33.9860853845)",2022-03-22 17:03:30+00:00,,Bonaparte Ave,Short Ave,Feature
Road Closed,"(-118.4292403558, 34.2450539898)",2023-01-24 23:48:00+00:00,,Arleta Ave,Lev Ave,Feature
Road Closed,"(-118.4284155766, 34.2456454303)",2023-01-27 03:04:00+00:00,,Lev Ave,Arleta Ave,Feature
Dangerous Conditions,"(-118.4100612203, 34.2330806527)",2024-03-11 05:29:00+00:00,,Osborne St (I-5),CA-170 (I-5),Feature
Road Closed,"(-118.4096736411, 34.1228015868)",2024-02-06 00:52:00+00:00,,Hewitt Hwy,Beverly Pl,Feature
Road Closed,"(-118.4173836509, 34.1055630306)",2024-02-05 21:24:30+00:00,,Beverly Pl,Lime Orchard Rd,Feature
Jam,"(-118.4057294527, 33.9448545001)",2024-03-11 03:11:00+00:00,2024-03-11 06:21:30+00:00,East Way (World Way (Upper Level)),Center Way (World Way (Upper Level)),Feature
Jam,"(-118.4058139423, 33.944845113)",2024-03-11 05:19:00+00:00,2024-03-11 06:08:30+00:00,World Way N (West Way),World Way S (West Way),Feature
Road Closed,"(-118.4036990205, 33.9166818808)",2023-09-22 20:03:30+00:00,,E El Segundo Blvd,E Grand Ave,Feature
